TckrSymb;FinInstrmNm;OpnPric;HghPric;LwPric;ClsPric;LastPric;TtlTradgVol;TtlTrfVal
EXPOGAS;EXPO GAS CONTAINERS LTD.;59.95;62.99;55.46;59.91;59.9;123968;7399286
NATPLAS;NATIONAL PLASTIC INDUSTRIES LT;54.25;55;51.02;53.39;53.39;4125;221379
MFLINDIA;MFL INDIA LTD.;0.58;0.58;0.54;0.57;0.57;404975;229454
TEXELIN;TEXEL INDUSTRIES LTD.;120;128.95;119.95;124.65;124.65;37707;4609849
RAYALEMA;ROYALE MANOR HOTELS & INDUSTRI;48.05;53.9;47.5;52.46;53.9;33274;1708692
MIRZAINT;MIRZA INTERNATIONAL LTD.;28.01;28.43;27.8;28.21;28.32;21861;615406
TFCILTD;TOURISM FINANCE CORPORATION OF;195;198.85;185;196.3;195.75;299405;57501347
BIL;BHARTIYA INTERNATIONAL LTD.;720;720;718;718;718;850;610400
KAMATHOTEL;KAMAT HOTELS (INDIA) LTD.;218;227.55;218;222.05;225;19285;4308682
KEEPLEARN;DSJ KEEP LEARNING LIMITED;3.26;3.26;3.25;3.26;3.25;12450;40546
ECOPLAST;ECOPLAST LTD.;599.8;599.8;570;581.4;589.9;315;184121
ELEMARB;ELEGANT MARBLES & GRANI INDUST;242;250;242;250;250;382;93417
BITS;BITS LTD.;10.87;10.87;10.87;10.87;10.87;16839;183039
ADARSHPL;ADARSH PLANT PROTECT LTD.;23.76;24.5;23.76;24.49;24.49;112;2685
HPBL;HCP PLASTENE BULKPACK LIMITED;96;104;96;103.9;103.9;22;2243
NICCOPAR;NICCO PARKS & RESORTS LTD.;114;117.7;110.6;114.3;114.05;1759;200278
NTCIND;NTC INDUSTRIES LTD.;188.05;188.05;181.05;186.4;187;1394;256866
SANDESH;SANDESH LTD.;1049.05;1119.8;1049.05;1105.1;1102;653;721042
GARNET;GARNET CONSTRUCTION LTD.;24.77;24.95;24.11;24.5;24.5;128;3124
GOLDIAM;GOLDIAM INTERNATIONAL LTD.;342.75;350.8;340;348.95;348.95;68381;23598822
BRIGHTBR;BRIGHT BROTHERS LTD.;271.1;291.95;271.1;286.2;286;3340;949992
SHAWGELTIN;NARMADA GELATINES LTD.;302.05;313.95;300;309.3;311.45;1040;319514
PGFOILQ;PG FOILS LTD.;278.8;279.7;271.2;273.55;277;9778;2691458
GRATEXI;GRATEX INDUSTRIES LTD.;15;15;15;15;15;7;105
VELHO;VELAN HOTELS LTD.;6.02;6.59;6.02;6.27;6.27;5520;34143
HOWARHO;HOWARD HOTELS LTD.;22.75;22.75;22.01;22.01;22.01;368;8209
PRESSURS;PRESSURE SENSITIVE SYSTEMS (IN;3;3.05;2.9;2.97;2.98;151760;449101
VALIANT;VALIANT COMMUNICATIONS LTD.;568.8;568.8;543.55;561.35;562.2;3527;1954800
DRAGARWQ;DR.AGARWALS EYE HOSPITAL LTD.;3999;4100;3878.65;4000.85;4001.35;941;3759894
GREENPLY;GREENPLY INDUSTRIES LTD.;258.95;265.25;256.3;264.4;265.25;2991;777881
SEAMECLTD;SEAMEC LTD.;964.95;964.95;850.5;855.6;850.5;139;120989
CHEVIOT;CHEVIOT CO.LTD.;1037.3;1042.4;1026.05;1030.25;1030.25;86;88860
DAICHI;DAI-ICHI KARKARIA LTD.;382;404.15;367;394.85;404.15;9172;3657771
RAJINFRA;RAJESWARI INFRASTRUCTURE LIMIT;3.62;3.62;3.62;3.62;3.62;60;217
CONFIPET;CONFIDENCE PETROLEUM INDIA LTD;48.11;50.79;48.11;50.46;50.19;38477;1916273
SIPL;SHELTER INFRA PROJECTS LTD.;13.61;14.85;13.61;14.85;14.85;502;7452
SHAKTIPR;SHAKTI PRESS LTD.;26.4;29.5;25.33;26.1;26.1;1383;38702
ASHSI;ASHIRWAD STEELS & INDUSTRIES L;29.01;31;29.01;30.63;30.94;3579;108968
BANARBEADS;BANARAS BEADS LTD.;114;115.95;112.5;112.85;113;180;20363
AREXMIS;AREX INDUSTRIES LTD.;175;175;161;161;161;96;15808
BI;BILCARE LTD.;71.64;73.65;69.21;70.52;70.52;11002;777298
