TckrSymb;FinInstrmNm;OpnPric;HghPric;LwPric;ClsPric;LastPric;TtlTradgVol;TtlTrfVal
CINELINE;CINELINE INDIA LIMITED;86;86.98;84;85.53;86.98;1520;129364
PGIL;PEARL GLOBAL INDUSTRIES LIMITE;1035.9;1084.75;1027.1;1065.95;1073;7240;7648966
FSL;FIRSTSOURCE SOLUTIONS LTD.;314.9;326.55;312.85;324.1;325.7;59316;18955082
PFC;POWER FINANCE CORPORATION LTD.;385.05;391.7;381;386.25;386.25;189172;73078563
AHLUCONT;AHLUWALIA CONTRACTS (INDIA) LT;840;860.7;831.4;858.15;855.5;1663;1407545
INDIANB;INDIAN BANK;545.1;560.5;539.7;552.5;554;34338;19018110
SMSPHARMA;SMS PHARMACEUTICALS LTD.;236.9;238.65;230.4;238.05;238;5599;1313846
ORIENTALTL;ORIENTAL TRIMEX LTD.;11.07;11.25;10.56;10.99;10.99;369038;4053684
ELAND;E-Land Apparel Limited;14.5;14.99;14.01;14.87;14.87;48474;689569
IDEA;VODAFONE IDEA  LIMITED;6.52;6.75;6.46;6.71;6.71;59852497;394774075
JAGJANANI;JAGJANANI TEXTILES LTD.;9.53;9.53;8.61;8.62;8.61;9258;82807
RAJTV;RAJ TELEVISION NETWORK LTD.;44.57;44.84;43.98;44.3;44.84;11143;490268
PAGEIND;PAGE INDUSTRIES LTD.;43766.7;45609.5;43766.7;45477.8;45600;285;12838519
AMDIND;AMD INDUSTRIES LTD.;41.77;41.77;41.77;41.77;41.77;5;208
LEHAR;LEHAR FOOTWEARS LIMITED;234.8;234.8;226;228.8;228.15;5792;1324705
ASTRAL;ASTRAL LIMITED;1240.45;1283.6;1240.45;1275.2;1275;11398;14415826
EMBDL;EMBASSY DEVELOPMENTS LIMITED;89.81;92.05;89.3;91.37;91.37;177551;16038572
CAMLINFINE;Camlin Fine Sciences Ltd;150.25;168.7;150.25;167.05;167.2;89987;14548698
ICRA;ICRA LTD.;5780;5836.45;5623.2;5702.05;5688.5;287;1659917
DISHTV;DISH TV INDIA LTD.;4.8;4.98;4.7;4.86;4.86;235028;1124679
SAHYADRI;SAHYADRI INDUSTRIES LTD.;265.2;269.85;259.9;268.9;268.85;1107;290785
SRHHYPOLTD;SREE RAYALASEEMA HI-STRENGTH H;493.35;512.7;488.65;505.65;504.65;3790;1880297
FORTIS;FORTIS HEALTHCARE LTD.;623.45;666.75;623.45;664.8;665.9;15388;10094727
TGBHOTELS;TGB BANQUETS AND HOTELS LTD.;9.01;9.6;8.35;9.31;9.31;3581;33350
HILTON;HILTON METAL FORGING LTD.;54.99;54.99;51.5;53.27;53.27;20270;1071373
DELTACORP;DELTA CORP LTD.;81.61;87.75;81.61;84.8;84.8;236177;20205130
MICEL;MIC ELECTRONICS LTD.;52.08;53.49;50.51;53.14;53.22;47212;2465253
INSECTICID;INSECTICIDES (INDIA) LTD.;645.65;670;645.65;668.05;667.6;2730;1798433
ASAHISONG;ASAHI SONGWON COLORS LTD.;401.9;433.45;390.2;426;430;5731;2391607
HARYNACAP;HARYANA CAPFIN LTD.;181.8;182.7;175.55;180.9;181;228;41407
TIMETECHNO;TIME TECHNOPLAST LTD.;312;317.5;306.75;308.75;312.6;71386;22138618
HGS;HINDUJA GLOBAL SOLUTIONS LTD.;470;480;465;476.35;477.85;578;271670
NELCAST;NELCAST LTD.;80.55;83.5;80.55;82.71;82.9;5487;452308
V2RETAIL;V2 RETAIL LTD.;1590;1680;1585;1652.95;1650.1;6000;9714998
DLF;DLF LTD.;641.05;650.45;618.15;631.5;637;180138;113685527
TARMAT;TARMAT LTD.;50;50;45.03;47.59;47.59;2436;112644
ANKITMETAL;ANKIT METAL & POWER LTD.;2.16;2.16;1.96;2.08;2.08;4730;9592
SPARC;SUN PHARMA ADVANCED RESEARCH C;139.1;141.9;138.65;140.85;141.9;12736;1784107
ADSL;ALLIED DIGITAL SERVICES LTD.;165.65;178.65;165.65;176.45;177.35;6425;1119143
ALPA;ALPA LABORATORIES LTD.;96.2;102;96.2;100.7;102;1651;164165
SSLEL;SIR SHADI LAL ENTERPRISES LTD.;265;280;257.05;273.15;280;304;82840
OMAXE;OMAXE LTD.;69.83;71;68.75;70.83;69.86;4227;295389
REFEX;REFEX INDUSTRIES LTD.;375.75;385.65;375;381.75;381.75;86791;33062237
CENTRALBK;CENTRAL BANK OF INDIA;32.99;34.4;32.81;34.18;34.18;394774;13237960
SELMC;SEL MANUFACTURING COMPANY LTD.;34.85;34.85;34.73;34.73;34.73;1084;37680
ASIANTILES;ASIAN GRANITO INDIA LTD.;42.06;42.4;41.31;41.88;41.88;28479;1190248
KPRMILL;K.P.R.MILL LIMITED;1164.9;1395.4;1137.7;1320.7;1320.7;266373;337503553
TAKE;TAKE SOLUTIONS LTD.;7.4;7.4;7.4;7.4;7.4;1902;14074
PURVA;Puravankara Limited;205.05;223.1;205.05;219.6;219.6;15540;3332206
MOTILALOFS;MOTILAL OSWAL FINANCIAL SERVIC;661.15;685;652.75;681.2;681.2;246082;164900876
VTMLTD;VTM LTD.;206.1;214.4;206.1;209.5;209.5;10469;2195035
INDOWIND;INDOWIND ENERGY LTD.;17.75;17.81;17.33;17.7;17.7;18275;321370
NAGREEKCAP;NAGREEKA CAPITAL & INFRASTRUCT;25.88;25.88;24.07;25.22;25.22;497;12271
MAGNUM;MAGNUM VENTURES LTD.;24.22;25.35;23.77;23.95;23.99;7847;195244
POWERGRID;POWER GRID CORPORATION OF INDI;299.55;303.1;296.4;299.55;299.55;168051;50371784
KSCL;KAVERI SEED COMPANY LTD.;1315.2;1381;1315.2;1370;1366.45;18585;25266242
PAISALO;PAISALO DIGITAL LIMITED;30.06;31.34;30.06;30.79;30.89;497257;15231960
CCCL;CONSOLIDATED CONSTRUCTION CONS;13.11;14.29;13.11;13.55;13.5;48375;659352
SUPREMEINF;SUPREME INFRASTRUCTURE INDIA L;83;83;81;82.8;82.8;251;20801
MAANALU;MAAN ALUMINIUM LTD.;83.9;85.91;82;84.63;84.2;2802;235750
IL&FSENGG;IL&FS ENGINEERING AND CONSTRUC;38.75;39;37.05;39;39;915;34003
PARLEIND;PARLE INDUSTRIES LIMITED;15.53;15.53;15.53;15.53;15.53;10801;167739
RELIGARE;RELIGARE ENTERPRISES LTD.;204.85;213.25;202.45;211.15;210.05;36113;7445133
BVCL;BARAK VALLEY CEMENTS LTD.;35.03;35.03;34.31;34.41;34.31;152;5235
RATHIBAR;RATHI BARS LTD.;33.12;33.12;32;32.8;32.8;10158;327800
ADANIPORTS;ADANI PORTS AND SPECIAL ECONOM;1296.15;1325;1292.25;1307.1;1307.1;184314;241678868
EDELWEISS;EDELWEISS FINANCIAL SERVICES L;75.9;79.48;74.78;78.73;78.58;150186;11543500
RGL;RENAISSANCE GLOBAL LIMITED;102.1;108.8;102.1;108.05;108.8;27375;2918338
KOLTEPATIL;KOLTE-PATIL DEVELOPERS LTD.;316.05;337.5;316.05;332.2;330.9;7116;2370571
KAUSHALYA;KAUSHALYA INFRASTRUCTURE DEVEL;865;917;855;915.6;917;1101;956109
JYOTHYLAB;JYOTHY LABS LIMITED;350.3;369.95;350.3;366.1;366.1;14170;5143091
ECLERX;ECLERX SERVICES LTD.;2306.75;2478;2306.75;2450.35;2437;1016;2441111
TARIL;TRANSFORMERS AND RECTIFIERS (I;462;480.9;462;478.75;478.75;173750;81891207
BRIGADE;BRIGADE ENTERPRISES LTD.;968.75;1021;968.75;1015.6;1018.7;6158;6160032
BGRENERGY;BGR ENERGY SYSTEMS LTD.;103;103.91;103;103.91;103.91;219706;22691750
MANAKSIA;MANAKSIA LTD.;62.1;65.05;61.21;64.05;64.05;3514;225377
PORWAL;PORWAL AUTO COMPONENTS LTD.;40.56;46.89;37;42.26;42.21;13027;550973
PPAP;PPAP;162.4;164.65;162.4;163.7;162.75;56;9117
ARIES;ARIES AGRO LTD.;267;278;267;274.15;276;8153;2238355
KUANTUM;KUANTUM PAPERS LTD.;102.1;102.1;100.65;101.6;101.6;877;88901
RPOWER;RELIANCE POWER LTD.;37.14;38.85;37;38.65;38.65;8838740;334701428
JKIL;J.KUMAR INFRAPROJECTS LTD.;606.05;635.9;606.05;629.9;633.5;8838;5477534
CORDSCABLE;CORDS CABLE INDUSTRIES LTD.;163.2;165.7;162.35;164.45;165.7;8202;1343473
KNRCON;KNR CONSTRUCTIONS LTD.;202.75;214.7;202.75;213.6;214.7;34150;7131604
ONMOBILE;ONMOBILE;45;45.69;44.36;45.07;45.5;10516;471089
SEPC;SEPC LIMITED;13.2;13.5;12.96;13.34;13.4;722371;9484671
BANG;BANG OVERSEAS LTD.;49.99;52.5;47.35;50.2;49.27;3883;189458
IRB;IRB INFRASTRUCTURE DEVELOPERS;43.01;45.38;43.01;45.17;45.38;508793;22542671
GSS;GSS INFOTECH LTD.;34.96;34.96;33.33;34.35;34.35;4344;146844
NAHARCAP;NAHAR CAPITAL & FINANCIAL SERV;246.4;248.35;240.25;242.75;240.25;12;2946
VGUARD;V-GUARD INDUSTRIES LTD.;351.05;370.1;351.05;366.9;370.05;25587;9255686
RECLTD;REC LIMITED;380.05;394.95;380.05;384.8;384.8;385900;149431595
GOKAKTEX;GOKAK TEXTILES LTD.;95.5;95.5;94.15;94.15;94.15;80;7613
DHANI;Dhani Services Limited;51.8;53.14;50.74;52.77;53;69634;3610070
TITAGARH;TITAGARH RAIL SYSTEMS LIMITED;679.85;692.15;667.85;687.15;687.15;81571;55381333
KIRIINDUS;KIRI INDUSTRIES LTD.;581.05;599.4;576.35;590.55;598;19773;11567127
BIRLAMONEY;ADITYA BIRLA MONEY LTD.;142.3;142.3;138.75;142;142;6982;977387
TELOGICA;TELOGICA LIMITED;10.11;11.1;10.07;10.93;11.09;1264;13162
JAIBALAJI;JAI BALAJI INDUSTRIES LTD.;115.95;115.95;111.45;114.3;114;10931;1232701
BAJAJ-AUTO;BAJAJ AUTO LTD.;7556.05;7735.3;7556.05;7683.5;7683.5;9537;73125596
BAJAJFINSV;BAJAJ FINSERV LTD.;1950.05;1999.15;1950.05;1970.3;1970.1;15444;30479655
GOKUL;GOKUL REFOILS & SOLVENT LTD.;41.51;43.22;40;42.4;42.4;9504;389365
RPGLIFE;RPG LIFE SCIENCES LTD.;1913.85;2042.35;1909;2032.85;2038.2;1503;2996054
SENSEX1;KOTAK MAHINDRA MUTUAL FUND;86.4;87.35;83.35;85.36;85.45;1319;112310
NIRAJ;NIRAJ CEMENT STRUCTURALS LTD.;52;53.29;52;53.13;53.13;465;24406
CHLLTD;CHL LTD.;30.28;31.81;28.01;28.04;28.01;4904;142371
SEJALLTD;SEJAL GLASS LIMITED;362.95;380.95;362.95;380.4;380.75;84;31906
ARCHIDPLY;ARCHIDPLY INDUSTRIES LTD.;79.7;83.5;79.7;82.15;82.15;1127;93501
LOTUSEYE;Lotus Eye Hospital And Institu;72.97;73.72;70.51;73.68;73.72;1779;127700
SOMICONVEY;SOMI CONVEYOR BELTINGS LTD.;179;179.05;176.45;177.9;178.6;4133;734262
LGBFORGE;LGB FORGE LTD.;10.22;10.68;9.85;10;10;98487;1004554
LPDC;LANDMARK PROPERTY DEVELOPMENT;7.36;7.72;7.29;7.61;7.45;15573;115875
SICAGEN;SICAGEN INDIA LTD.;56.1;58.45;54.14;54.9;55.79;13503;755707
20MICRONS;20 MICRONS LTD.;201.75;220.75;201.75;214.9;213.9;14519;3096635
ZFCVINDIA;ZF Commercial Vehicle Control;12525;12600;12258.9;12534.8;12600;214;2665091
ALKALI;ALKALI METALS LTD.;79.35;82;78.11;78.93;78.77;23661;1880460
ISGEC;ISGEC HEAVY ENGINEERING LTD.;1045;1059.55;1026.05;1051.05;1051.05;3891;4048629
IMFA;INDIAN METALS & FERRO ALLOYS L;560.1;584.45;560.1;582;584.45;3744;2148682
TPHQ;Teamo Productions HQ Limited;0.76;0.79;0.73;0.73;0.73;8774278;6711743
VEDAVAAG;VEDAVAAG SYSTEMS LTD.;44.1;46.49;44.1;44.76;44.76;42441;1908431
MOLDTKPAC;MOLD-TEK PACKAGING LIMITED;494.05;527.1;494.05;518.15;517.45;2443;1261758
MHRIL;MAHINDRA HOLIDAYS & RESORTS IN;295.75;303;295.75;301.7;303;9273;2773711
EXCEL;EXCEL REALTY N INFRA LTD.;0.68;0.69;0.66;0.66;0.66;2662272;1767714
ROML;RAJ OIL MILLS LTD.;43.51;44.16;43.51;43.64;43.51;711;31175
BENGALASM;BENGAL & ASSAM COMPANY LTD.;7242.25;7242.25;7199.95;7230;7236;158;1141749
ADANIPOWER;ADANI POWER LTD.;505.3;516.2;505.3;513.5;513.5;515500;262842844
NHPC;NHPC LTD.;77.07;79.2;76.25;78.04;78.04;2424818;187680258
PEIL;PREMIER ENERGY AND INFRASTRUCT;6.05;6.05;5.83;5.83;5.83;13392;80098
SURYAAMBA;SURYAAMBA SPINNING MILLS LTD.;144.85;148;144.85;148;148;415;60133
GLOBUSSPR;GLOBUS SPIRITS LTD.;912.5;950;912.5;945.15;950;7523;7020214
OIL;OIL INDIA LTD.;389.35;403.95;389.35;402.9;401.8;61457;24448514
SWANDEF;SWAN DEFENCE AND HEAVY INDUSTR;155.05;155.05;155.05;155.05;155.05;2384;369639
BTTL;BHILWARA TECHNICAL TEXTILES LT;41;44.8;40.6;44.63;44.6;17935;785186
EXPLEOSOL;EXPLEO SOLUTIONS LIMITED;807.1;829.95;800;826.65;820;1114;909774
RTNPOWER;RATTANINDIA POWER LTD.;9.62;9.99;9.56;9.87;9.87;4589899;44611308
DEN;DEN NETWORKS LTD;31;32.45;30.5;31.88;32;18001;560872
ASTEC;ASTEC LIFESCIENCES LIMITED;653.35;658.25;635.95;649.55;648.75;859;555781
DLINKINDIA;D-LINK (INDIA) LTD;451.5;469.95;451.5;465.5;465.5;21736;9990130
JSWENERGY;JSW ENERGY LTD;452.85;462.95;445.05;460.15;460.15;91765;41953489
YUNIKM;Yunik Managing Advisors Limite;11.66;12.24;11.08;12.24;12.24;1903;21468
GODREJPROP;GODREJ PROPERTIES LTD;2006.65;2024;1949;2000;2000;25700;50970676
DBCORP;D B CORP LTD;220.05;226.4;211.65;224.5;224.1;16015;3498388
MBLINFRA;MBL Infrastructure Ltd;36.25;40.08;36.25;39.32;39.16;9891;390323
JUBLFOOD;JUBILANT FOODWORKS LTD;640.15;673.5;640.15;670.3;670.8;43948;29240542
VASCONEQ;VASCON ENGINEERS LTD;36.5;37.8;35.1;37.61;37.61;77750;2871097
THANGAMAYL;THANGAMAYIL JEWELLERY LTD;1851;1945.55;1844.65;1914.4;1914.3;7840;14937731
DBREALTY;VALOR ESTATE LIMITED;160.3;166.9;160.3;165.95;165.95;123796;20327427
EMMBI;EMMBI INDUSTRIES LTD;100.95;104.1;100.3;103.85;103.85;1000;102339
HATHWAY;HATHWAY CABLE & DATACOM LTD;12.69;13.63;12.69;13.37;13.37;878280;11482421
ARSSINFRA;ARSS INFRASTRUCTURE PROJECTS L;41.5;43.46;41;43.03;43.46;6994;294242
TEXMOPIPES;TEXMO PIPES & PRODUCTS LTD.;56.95;56.95;53.5;54.35;54.05;6393;346380
SUNDARAM;SUNDARAM MULTI PAP LTD.;1.93;1.93;1.86;1.87;1.87;21759;40990
ROSSELLIND;ROSSELL INDIA LTD.;65.2;68.53;62.15;68.1;68.1;10267;674122
MANINFRA;MAN INFRACONSTRUCTION LTD.;145;150.85;143.7;149.7;150.05;29233;4280372
TAMBOLIIN;TAMBOLI INDUSTRIES LIMITED;139;154.9;131.5;142.2;140;2192;307208
IL&FSTRANS;IL&FS TRANSPORTATION NETWORKS;2.94;3.04;2.94;2.98;2.98;1004;2954
PERSISTENT;PERSISTENT SYSTEMS LTD.;5250.2;5483.05;5250.2;5445.15;5445.15;6715;36436024
ISFT;INTRASOFT TECHNOLOGIES LTD.;94.9;104.35;89.95;96.8;96.8;4362;406029
GOENKA;GOENKA DIAMOND & JEWELS LTD.;0.76;0.83;0.76;0.82;0.82;31456;24607
KCPSUGIND;KCP SUGAR & INDUSTRIES CORPORA;31;33.79;31;33.55;33.79;11205;368260
KECL;KIRLOSKAR ELECTRIC COMPANY LTD;117;117.5;113.15;116.55;116.2;9894;1140213
SATCH;SATCHMO HOLDINGS LIMITED;2.8;2.97;2.56;2.9;2.9;100146;284449
TARAPUR;TARAPUR TRANSFORMERS LTD;27;27;26.51;26.51;26.51;3701;98326
SJVN;SJVN LTD;85.08;89.5;85.08;88.96;88.96;920300;80627056
EMAMIPAP;EMAMI PAPER MILLS LTD.;86;89.12;86;88.02;88;975;86005
KRITINUT;KRITI NUTRIENTS LTD;97.01;100;93.23;96.21;96;5274;507871
GKB;GKB OPHTHALMICS LTD.;63.02;66.95;63.02;65.13;65.1;2093;136026
HMVL;HINDUSTAN MEDIA VENTURES LTD.;80;81;79.72;80.21;80.1;223;17903
EMAMIREAL;EMAMI REALTY LIMITED;103;106.15;102.3;105;106.15;1143;119121
AHLEAST;ASIAN HOTELS (EAST) LTD.;139.85;139.85;133.95;134.2;134.2;16;2185
BAJAJCON;BAJAJ CONSUMER CARE LIMITED;162.25;165.1;161.5;162.05;162.15;13089;2129459
HDFCGOLD;HDFC MUTUAL FUND - HDFC GOLD E;83.03;83.64;82.51;83.32;83.35;37586;3128288
PRAKASHSTL;PRAKASH STEELAGE LTD.;5.51;6.26;5.51;6.15;6.16;76475;464095
GOLDIETF;ICICI Prudential Gold ETF;83.41;83.84;82.58;83.7;83.5;215242;17970413
GPPL;GUJARAT PIPAVAV PORT LTD.;129.1;131.9;128.55;131.15;131.9;24984;3252458
WELINV;WELSPUN INVESTMENTS AND COMMER;751.05;751.05;751;751;751;4;3004
SASTASUNDR;Sastasundar Ventures Limited;246.65;253.2;245.9;253.2;253.2;234;57976
CPCAP;CP CAPITAL LIMITED;250;250;237.5;237.5;237.5;4837;1160123
RAMKY;RAMKY INFRASTRUCTURE LTD.;424.95;444.2;424.95;439.05;437.45;7655;3334114
GREENPOWER;ORIENT GREEN POWER COMPANY LTD;11.38;11.5;10.95;11.14;11.14;1694204;18851117
CANTABIL;CANTABIL RETAIL INDIA LTD.;222.05;231.95;221;226.35;226.35;11652;2605905
SEATV;SEA TV NETWORK LTD.;6.6;6.6;6.44;6.6;6.6;246;1623
WABAG;VA TECH WABAG LTD.;1236.25;1282.4;1236.25;1276.35;1282;12284;15540282
BEDMUTHA;BEDMUTHA INDUSTRIES LTD.;161;162.65;157;159.05;161;1066;170558
ASHOKA;ASHOKA BUILDCON LTD.;170.8;177.7;170.8;176.35;176.35;155179;26934816
JWL;JUPITER WAGONS LIMITED;321.3;335.85;321.3;334.35;334.35;85774;28382353
OBEROIRLTY;OBEROI REALTY LTD.;1501.85;1546.8;1501.85;1530.9;1530;16466;25140922
PRESTIGE;PRESTIGE ESTATES PROJECTS LTD.;1274.3;1308.85;1262.5;1282.35;1289.15;17616;22547392
SHAH;SHAH METACORP LIMITED;2.92;3.1;2.72;3.05;3.1;193642;571645
COALINDIA;COAL INDIA LTD.;375.35;383.35;375.35;382.65;382.65;211288;80432017
GRAVITA;GRAVITA INDIA LTD.;1760.6;1829.45;1760.6;1806.15;1804.75;28999;51881247
RPPINFRA;RPP INFRA PROJECTS LTD.;137.3;143.65;137.3;142.65;142.65;4627;648490
RDBIPL;RDB INFRASTRUCTURE AND POWER L;53.14;55;50.55;53.64;53.64;11341;604920
MOIL;MOIL LTD.;307.25;322.65;307.25;321.85;321.85;41450;13124827
ZEELEARN;ZEE LEARN LTD.;6.69;6.69;5.7;5.91;5.91;79229;458083
KTIL;KESAR TERMINALS & INFRASTRUCTU;80;86;80;80.61;80.61;707;56838
A2ZINFRA;A2Z INFRA ENGINEERING LIMITED;12.5;13.45;12.4;12.7;12.7;21407;276524
KIRLOSENG;KIRLOSKAR OIL ENGINES LTD.;662.05;689.75;662.05;669.75;669.75;28953;19533776
RKDL;RAVI KUMAR DISTILLERIES LTD.;27.9;27.9;24.7;25.37;25.37;1017;25721
PSB;PUNJAB & SIND BANK;27;27.74;26.33;27.49;27.49;274177;7392188
FMNL;FUTURE MARKET NETWORKS LTD.;13.11;13.99;13.08;13.08;13.08;34576;453707
SURANASOL;SURANA SOLAR LTD.;29.61;32.18;29.61;31.96;31.84;8748;272590
SHEKHAWATI;SHEKHAWATI INDUSTRIES LIMITED;21.95;22.88;21.04;22.3;22.36;5109;111280
KICL;KALYANI INVESTMENT COMPANY LTD;4104.7;4275;4080.4;4227.65;4210;330;1381070
BFINVEST;BF INVESTMENT LTD.;471.9;483.8;469.15;478.65;483.8;2635;1249634
SUMMITSEC;SUMMIT SECURITIES LTD.;1805;1835;1795;1813.4;1824;805;1454108
INOVSYNTH;INNOVASSYNTH INVESTMENTS LTD.;71.91;74.64;67.99;69.65;69.65;1869;132647
STEL;STEL HOLDINGS LIMITED;395;395;380;385;385;182;70854
OMKARCHEM;OMKAR SPECIALITY CHEMICALS LTD;5.47;5.47;5.47;5.47;5.47;5993;32781
TEXRAIL;TEXMACO RAIL & ENGINEERING LTD;125.1;130.95;125.1;129.65;129.65;204708;26371154
INDTERRAIN;INDIAN TERRAIN FASHIONS LTD.;32.78;32.99;31.61;32.39;32.4;4791;154194
FCL;FINEOTEX CHEMICAL LTD.;224.8;233.25;222;230.35;230.35;36511;8290940
DHUNINV;DHUNSERI INVESTMENTS LTD.;1422.15;1452.25;1422.15;1427.8;1427.8;670;966397
ZENTEC;ZEN TECHNOLOGIES LTD.;1295.15;1406.35;1295.15;1406.35;1406.35;27249;38004999
LOVABLE;LOVABLE LINGERIE LTD.;85;85.99;84.79;84.83;84.84;803;68644
PFS;PTC INDIA FINANCIAL SERVICES L;30.61;31.78;30.61;31.57;31.59;35023;1097193
MON100;MOTILAL OSWAL MOST SHARES NASD;169.1;170.85;168.17;169.11;169.11;162785;27499169
MUTHOOTFIN;MUTHOOT FINANCE LTD.;2100.05;2235.55;2100.05;2229.45;2233.5;23615;52255190
TRUEGREEN;TRUE GREEN BIO ENERGY LIMITED;79;80.99;75.21;75.21;75.21;872;67574
BSLGOLDETF;Aditya Birla Sun Life Mutual F;85;86.38;85;85.71;85.95;5231;447791
VMS;VMS INDUSTRIES LTD.;22.07;23.99;22.07;22.42;23;122331;2707177
KARMAENG;KARMA ENERGY LTD.;50;53.89;49.25;53.38;53.4;1007;52213
RUSHIL;RUSHIL DECOR LTD.;21.34;21.63;20.49;21.51;21.5;55417;1156742
ENKEIWHEL;ENKEI WHEELS (INDIA) LTD.;509.45;509.45;500;500.1;500.1;207;103889
KRIDHANINF;KRIDHAN INFRA LIMITED;3.5;3.59;3.5;3.57;3.58;1847;6604
INVENTURE;INVENTURE GROWTH & SECURITIES;1.4;1.41;1.37;1.41;1.41;569717;791879
LTF;L&T Finance Limited;156.2;164.45;156.2;161.45;161.45;290757;47098955
YAARI;Yaari Digital Integrated Servi;12.62;12.62;12;12.02;12.01;7544;93584
TREEHOUSE;TREE HOUSE EDUCATION & ACCESSO;8.3;8.68;8.28;8.28;8.28;684;5683
BROOKS;BROOKS LABORATORIES LTD.;124.35;127.95;124.35;127.95;127.95;110;14038
RUPA;RUPA & COMPANY LTD.;181;186.9;181;185.45;184.2;2931;543444
TDPOWERSYS;T D POWER SYSTEMS LTD.;383;401;383;398.65;399.8;17325;6860654
AXISGOLD;AXIS MUTUAL FUND - AXIS GOLD E;81.35;81.69;80.79;81.27;81.27;23528;1910891
APLLTD;ALEMBIC PHARMACEUTICALS LTD.;904.95;905.55;877.95;901.7;898.1;3491;3098647
VASWANI;VASWANI INDUSTRIES LTD.;38.09;39.2;37.82;38.5;38.79;8261;317197
PGEL;PG ELECTROPLAST LTD.;793.85;827;786.35;799.35;809;256862;206441579
LESHAIND;LESHA INDUSTRIES LTD.;1.11;1.13;1.05;1.1;1.13;313171;341493
SETUINFRA;SETUBANDHAN INFRASTRUCTURE LIM;0.59;0.6;0.57;0.6;0.6;30699;18374
RDBRL;RDB RASAYANS LTD.;101.8;103;96;100.8;100.5;16735;1658128
TIJARIA;TIJARIA POLYPIPES LTD.;5.85;5.85;5.85;5.85;5.85;1606;9395
ONELIFECAP;ONELIFE CAPITAL ADVISORS LTD.;10.98;10.98;10.98;10.98;10.98;1;10
FLEXITUFF;FLEXITUFF VENTURES INTERNATION;30.64;31.17;30.64;31.17;31.17;350;10750
TRITURBINE;TRIVENI TURBINE LTD.;481.3;521.55;481.3;515.8;517.05;55739;28547732
INDOTHAI;INDO THAI SECURITIES LTD.;1769.25;1799.1;1769.25;1769.25;1769.25;973;1722462
ESSARSHPNG;ESSAR SHIPPING LTD.;28.39;28.39;27.12;27.58;27.58;11399;312907
LICMFGOLD;IDBI MUTUAL FUND - IDBI GOLD E;8789;8850;8781;8802.25;8781;33;290663
APLAPOLLO;APL APOLLO TUBES LTD.;1619.1;1677.3;1619.1;1659.45;1659.45;14161;23459139
GPTINFRA;GPT INFRAPROJECTS LTD.;114;118.9;111.85;116.95;117;5737;663211
FERVENTSYN;FERVENT SYNERGIES LTD.;20.9;21.65;20.9;20.9;20.9;1060;22207
THOMASCOTT;THOMAS SCOTT (INDIA) LIMITED;313.3;313.3;313.3;313.3;313.3;478;149757
TERASOFT;TERA SOFTWARE LTD.;219;227.75;219;227.75;227.75;20093;4470507
PMCFIN;PMC FINCORP LIMITED;2.12;2.3;2.1;2.25;2.25;1399940;3050195
AIML;ALLIANCE INTEGRATED METALIKS L;4.06;4.06;3.82;3.97;3.98;21672;84988
RHIM;RHI MAGNESITA INDIA LIMITED;436;443.35;429.25;439.25;439.25;11722;5131922
MCX;MULTI COMMODITY EXCHANGE OF IN;5800.2;5842.05;5601;5672.3;5672.3;39786;226220053
SCHNEIDER;SCHNEIDER ELECTRIC INFRASTRUCT;516.7;559.75;516.7;551.75;558;32838;17945696
OLPCL;OLYMPIC CARDS LTD.;3.05;3.24;3.03;3.14;3.14;2723;8584
NBCC;NBCC (India) Limited;89.39;92.75;89.39;92.1;92.1;887007;81334229
MTEDUCARE;MT EDUCARE LTD.;2.28;2.28;2.28;2.28;2.28;1195;2724
HEXATRADEX;HEXA TRADEX LTD.;172;175.1;171.95;175.05;175.05;51;8823
MAXHEIGHTS;MAXHEIGHTS INFRASTRUCTURE LTD.;15.96;15.96;15.89;15.93;15.89;2;31
TBZ;TRIBHOVANDAS BHIMJI ZAVERI LTD;184.6;191.85;184.6;190.05;190.45;40512;7670705
VSSL;VARDHMAN SPECIAL STEELS LTD.;237.95;238;232.85;234.1;233.3;3981;937589
LOOKS;LOOKS HEALTH SERVICES LIMITED;4.15;4.5;4.15;4.5;4.5;186;774
SPECIALITY;SPECIALITY RESTAURANTS LTD.;128;130.4;114.3;128;130;5502;696864
LYPSAGEMS;LYPSA GEMS & JEWELLERY LTD;5.73;6.12;5.73;5.94;5.94;2580;15307
META;STRING METAVERSE LIMITED;128.02;128.02;128.02;128.02;128.02;11366;1455075
RTNINDIA;RATTANINDIA ENTERPRISES LIMITE;38.15;41.15;38.15;40.99;40.99;225926;9072335
SAMPANN;Sampann Utpadan India Limited;28;29.4;26.87;26.88;26.87;9672;264637
JTLIND;JTL INDUSTRIES LIMITED;61.7;63;59.7;60.45;61;146447;8917351
AMTL;ADVANCE METERING TECHNOLOGY LT;23.5;24.85;23.5;24.27;24.5;6028;143574
NECCLTD;NORTH EASTERN CARRYING CORPORA;20.26;21.68;20.26;21.14;21.68;8073;168846
WAAREERTL;WAAREE RENEWABLE TECHNOLOGIES;914.25;914.95;892.25;903.35;907;100785;91046552
JUPITERIN;JUPITER INFOMEDIA LTD.;52.72;52.99;52;52.14;52.1;6016;314331
VINAYAKPOL;VINAYAK POLYCON INTERNATIONAL;25.34;27.98;25.33;25.34;25.34;758;19207
DUCON;Ducon Infratechnologies Ltd;5.41;5.6;5.22;5.49;5.5;329068;1794686
